id,name,city,country,continent,region,lon,lat,rank
QOW,Sam Mbakwe,Owerri,Nigeria,Africa,Western Africa,7.206111,5.426944,668
JRO,Kilimanjaro International,Mount Kilimanjaro,Tanzania,Africa,Eastern Africa,37.074444,-3.429444,676
EMA,East Midlands,Nottingham,United Kingdom,Europe,Northern Europe,-1.328056,52.831111,677
BDS,Brindisi,Brindisi,Italy,Europe,Southern Europe,17.948056,40.660556,680
MIR,Monastir Habib Bourguiba International,Monastir,Tunisia,Africa,Northern Africa,10.754722,35.758056,683
UDR,Maharana Pratap,Udaipur,India,Asia,Southern Asia,73.896111,24.617778,684
PAS,Paros National,Parikia,Greece,Europe,Southern Europe,25.128611,37.010278,692
SUF,Lamezia Terme International,Lamezia Terme,Italy,Europe,Southern Europe,16.241667,38.908333,693
NYO,Stockholm Skavsta,Stockholm,Sweden,Europe,Northern Europe,16.912222,58.788611,695
JIB,Djibouti–Ambouli International,Balbala,Djibouti,Africa,Eastern Africa,43.159444,11.547222,702
GOP,Mahayogi Gorakhnath,Gorakhpur,India,Asia,Southern Asia,83.45,26.741111,704
OVD,Asturias,Asturias,Spain,Europe,Southern Europe,-6.034722,43.563611,706
NKC,Nouakchott International,Nouakchott,Mauritania,Africa,Western Africa,-15.948056,18.097778,710
MMX,Malmö,Malmö,Sweden,Europe,Northern Europe,13.375,55.5425,711
AHO,Alghero-Fertilia,Alghero,Italy,Europe,Southern Europe,8.289722,40.630278,712
ZAD,Zadar,Zadar,Croatia,Europe,Southern Europe,15.346667,44.108333,713
KAN,Mallam Aminu Kano International,Kano,Nigeria,Africa,Western Africa,8.524722,12.0475,718
BNI,Benin,Benin City,Nigeria,Africa,Western Africa,5.599444,6.316944,720
ASB,Ashgabat International,Ashgabat,Turkmenistan,Asia,Central Asia,58.360833,37.986944,722
MGQ,Aden Adde International,Mogadishu,Somalia,Africa,Eastern Africa,45.305,2.014722,724
DJE,Djerba–Zarzis International,Djerba,Tunisia,Africa,Northern Africa,10.775556,33.875,725
TRS,Trieste – Friuli Venezia Giulia,Trieste,Italy,Europe,Southern Europe,13.472222,45.8275,726
ATZ,Assiut,Asyut,Egypt,Africa,Northern Africa,31.011944,27.046389,727
EAM,Najran Regional Airport,Najran,Saudi Arabia,Asia,Western Asia,44.419167,17.611389,729
OUD,Angads,Oujda,Morocco,Africa,Northern Africa,-1.923889,34.787222,733
SKD,Samarkand International,Samarkand,Uzbekistan,Asia,Central Asia,66.984722,39.700556,738
KSC,Košice International,Košice,Slovakia,Europe,Central Europe,21.241111,48.663056,743
PLQ,Palanga International,Palanga,Lithuania,Europe,Northern Europe,21.093889,55.973333,744
LCG,A Coruña,A Coruña,Spain,Europe,Southern Europe,-8.377222,43.302222,747
AAL,Aalborg,Aalborg,Denmark,Europe,Northern Europe,9.849167,57.092778,751
PKR,Pokhara,Pokhara,Nepal,Asia,Southern Asia,83.981389,28.200556,753
TRD,"Trondheim Airport, Værnes",Trondheim,Norway,Europe,Northern Europe,10.924167,63.4575,754
MLO,Milos Island National,"Plaka, Milos",Greece,Europe,Southern Europe,24.472778,36.696667,755
TIF,Ta if Regional,Ta if,Saudi Arabia,Asia,Western Asia,40.544444,21.483333,759
STV,Surat,Surat,India,Asia,Southern Asia,72.741667,21.114167,765
YNB,Yanbu,Yanbu,Saudi Arabia,Asia,Western Asia,38.063333,24.144167,766
BJM,Bujumbura International,Bujumbura,Burundi,Africa,Eastern Africa,29.318611,-3.323889,767
NDR,Nador International,Nador,Morocco,Africa,Northern Africa,-3.028333,34.988889,768
MJI,Mitiga International,Tripoli,Libya,Africa,Northern Africa,13.289722,32.893333,772
LWN,Shirak,Gyumri,Armenia,Asia,Western Asia,43.859444,40.750278,778
LEJ,Leipzig/Halle Airport,Leipzig,Germany,Europe,Central Europe,12.241667,51.4325,780
INI,Niš Constantine the Great,Niš,Serbia,Europe,Southern Europe,21.853611,43.337222,781
UET,Quetta International,Quetta,Pakistan,Asia,Southern Asia,66.937778,30.251389,785
XRY,Jerez,Jerez de la Frontera,Spain,Europe,Southern Europe,-6.06,36.744722,788
MPL,Montpellier–Méditerranée,Montpellier,France,Europe,Western Europe,3.961389,43.583333,792
HSR,Rajkot International Airport,Rajkot,India,Asia,Southern Asia,71.028333,22.388056,794
FKB,Karlsruhe/Baden-Baden,Karlsruhe,Germany,Europe,Central Europe,8.080556,48.779444,795
ADE,Aden International Airport,Aden,Yemen,Asia,Western Asia,45.028801,12.8295,798
